算子名称,对应benchmark文件,baseline实现方式,baseline说明,vLLM接口调用方式(CUDA),"模型实测input_shapes(来自temp,去重)"
add_rms_norm,test_add_rms_norm.py,torch实现,手写 (x1+x2) 后做 RMSNorm；ascend 厂商改用 torch_npu.npu_add_rms_norm,-,"【注:模糊匹配,该算子与相关融合kernel同名,shape可能不完全对应,待确认】
[[1000,2048],[1000,2048],[2048],[1000,2048],[1000,2048],[1000,2048],[1000,2048],[1000,2048],[],[]]
[[1025,2048],[1025,2048],[2048],[1025,2048],[1025,2048],[1025,2048],[1025,2048],[1025,2048],[],[]]
[[4096,2048],[4096,2048],[2048],[4096,2048],[4096,2048],[4096,2048],[4096,2048],[4096,2048],[],[]]
[[4097,2048],[4097,2048],[2048],[4097,2048],[4097,2048],[4097,2048],[4097,2048],[4097,2048],[],[]]
[[4098,2048],[4098,2048],[2048],[4098,2048],[4098,2048],[4098,2048],[4098,2048],[4098,2048],[],[]]
[[4103,2048],[4103,2048],[2048],[4103,2048],[4103,2048],[4103,2048],[4103,2048],[4103,2048],[],[]]
[[4104,2048],[4104,2048],[2048],[4104,2048],[4104,2048],[4104,2048],[4104,2048],[4104,2048],[],[]]
[[4105,2048],[4105,2048],[2048],[4105,2048],[4105,2048],[4105,2048],[4105,2048],[4105,2048],[],[]]
[[4115,2048],[4115,2048],[2048],[4115,2048],[4115,2048],[4115,2048],[4115,2048],[4115,2048],[],[]]
[[5089,2048],[5089,2048],[2048],[5089,2048],[5089,2048],[5089,2048],[5089,2048],[5089,2048],[],[]]
[[8192,2048],[8192,2048],[2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[],[]]"
mhc_post,test_mhc.py,torch实现,仓库自研 torch 参考 mhc_post_ref (flaggems_vllm.ops.mhc.mhc_post),-,
mhc_pre,test_mhc.py,torch实现,仓库自研 torch 参考 mhc_pre_ref (flaggems_vllm.ops.mhc.mhc_pre),-,
moe_sum,test_moe_sum.py,torch实现,output.copy_(input.sum(dim=1)),-,"[[1,2048],[1,2048],[1,2048],[],[],[]]
[[2,2048],[2,2048],[2,2048],[],[],[]]
[[3,2048],[3,2048],[3,2048],[],[],[]]
[[4,2048],[4,2048],[4,2048],[],[],[]]
[[5,2048],[5,2048],[5,2048],[],[],[]]
[[6,2048],[6,2048],[6,2048],[],[],[]]
[[7,2048],[7,2048],[7,2048],[],[],[]]
[[8,2048],[8,2048],[8,2048],[],[],[]]
[[9,2048],[9,2048],[9,2048],[],[],[]]
[[10,2048],[10,2048],[10,2048],[],[],[]]
[[11,2048],[11,2048],[11,2048],[],[],[]]
[[12,2048],[12,2048],[12,2048],[],[],[]]
[[13,2048],[13,2048],[13,2048],[],[],[]]
[[14,2048],[14,2048],[14,2048],[],[],[]]
[[15,2048],[15,2048],[15,2048],[],[],[]]
[[16,2048],[16,2048],[16,2048],[],[],[]]
[[17,2048],[17,2048],[17,2048],[],[],[]]
[[18,2048],[18,2048],[18,2048],[],[],[]]
[[19,2048],[19,2048],[19,2048],[],[],[]]
[[20,2048],[20,2048],[20,2048],[],[],[]]
[[21,2048],[21,2048],[21,2048],[],[],[]]
[[22,2048],[22,2048],[22,2048],[],[],[]]
[[23,2048],[23,2048],[23,2048],[],[],[]]
[[24,2048],[24,2048],[24,2048],[],[],[]]
[[25,2048],[25,2048],[25,2048],[],[],[]]
[[26,2048],[26,2048],[26,2048],[],[],[]]
[[27,2048],[27,2048],[27,2048],[],[],[]]
[[28,2048],[28,2048],[28,2048],[],[],[]]
[[29,2048],[29,2048],[29,2048],[],[],[]]
[[30,2048],[30,2048],[30,2048],[],[],[]]
[[31,2048],[31,2048],[31,2048],[],[],[]]
[[32,2048],[32,2048],[32,2048],[],[],[]]
[[33,2048],[33,2048],[33,2048],[],[],[]]
[[34,2048],[34,2048],[34,2048],[],[],[]]
[[35,2048],[35,2048],[35,2048],[],[],[]]
[[36,2048],[36,2048],[36,2048],[],[],[]]
[[37,2048],[37,2048],[37,2048],[],[],[]]
[[38,2048],[38,2048],[38,2048],[],[],[]]
[[39,2048],[39,2048],[39,2048],[],[],[]]
[[40,2048],[40,2048],[40,2048],[],[],[]]
[[41,2048],[41,2048],[41,2048],[],[],[]]
[[42,2048],[42,2048],[42,2048],[],[],[]]
[[43,2048],[43,2048],[43,2048],[],[],[]]
[[44,2048],[44,2048],[44,2048],[],[],[]]
[[45,2048],[45,2048],[45,2048],[],[],[]]
[[46,2048],[46,2048],[46,2048],[],[],[]]
[[47,2048],[47,2048],[47,2048],[],[],[]]
[[48,2048],[48,2048],[48,2048],[],[],[]]
[[49,2048],[49,2048],[49,2048],[],[],[]]
[[50,2048],[50,2048],[50,2048],[],[],[]]
[[51,2048],[51,2048],[51,2048],[],[],[]]
[[52,2048],[52,2048],[52,2048],[],[],[]]
[[53,2048],[53,2048],[53,2048],[],[],[]]
[[54,2048],[54,2048],[54,2048],[],[],[]]
[[55,2048],[55,2048],[55,2048],[],[],[]]
[[56,2048],[56,2048],[56,2048],[],[],[]]
[[57,2048],[57,2048],[57,2048],[],[],[]]
[[58,2048],[58,2048],[58,2048],[],[],[]]
[[59,2048],[59,2048],[59,2048],[],[],[]]
[[60,2048],[60,2048],[60,2048],[],[],[]]
[[61,2048],[61,2048],[61,2048],[],[],[]]
[[62,2048],[62,2048],[62,2048],[],[],[]]
[[63,2048],[63,2048],[63,2048],[],[],[]]
[[64,2048],[64,2048],[64,2048],[],[],[]]
[[1025,2048],[1025,2048],[1025,2048],[],[],[]]
[[4096,4096],[4096,4096],[4096,4096],[4096],[],[]]
[[5089,4096],[5089,4096],[5089,4096],[5089],[],[]]
[[8192,4096],[8192,4096],[8192,4096],[8192],[],[]]"
silu_and_mul_with_clamp,test_silu_and_mul_with_clamp.py,torch实现,torch.clamp + F.silu + torch.mul 手写,-,"[[24576,256],[24576,512],[],[],[]]
[[30534,256],[30534,512],[],[],[]]
[[49152,256],[49152,512],[],[],[]]"
fused_add_rms_norm,test_fused_add_rms_norm.py,vLLM接口(厂商相关),nvidia 用 vllm C/CUDA fused_add_rms_norm；mthreads 用 musa_fused_add_rms_norm；其余厂商回退 torch 参考,"import: from vllm import _custom_ops as vendor_ops  调用: vendor_ops.fused_add_rms_norm(x, residual, weight, eps)  # 原地更新 x/residual","【注:模糊匹配,该算子与相关融合kernel同名,shape可能不完全对应,待确认】
[[1000,2048],[1000,2048],[2048],[1000,2048],[1000,2048],[1000,2048],[1000,2048],[1000,2048],[],[]]
[[1025,2048],[1025,2048],[2048],[1025,2048],[1025,2048],[1025,2048],[1025,2048],[1025,2048],[],[]]
[[4096,2048],[4096,2048],[2048],[4096,2048],[4096,2048],[4096,2048],[4096,2048],[4096,2048],[],[]]
[[4097,2048],[4097,2048],[2048],[4097,2048],[4097,2048],[4097,2048],[4097,2048],[4097,2048],[],[]]
[[4098,2048],[4098,2048],[2048],[4098,2048],[4098,2048],[4098,2048],[4098,2048],[4098,2048],[],[]]
[[4103,2048],[4103,2048],[2048],[4103,2048],[4103,2048],[4103,2048],[4103,2048],[4103,2048],[],[]]
[[4104,2048],[4104,2048],[2048],[4104,2048],[4104,2048],[4104,2048],[4104,2048],[4104,2048],[],[]]
[[4105,2048],[4105,2048],[2048],[4105,2048],[4105,2048],[4105,2048],[4105,2048],[4105,2048],[],[]]
[[4115,2048],[4115,2048],[2048],[4115,2048],[4115,2048],[4115,2048],[4115,2048],[4115,2048],[],[]]
[[5089,2048],[5089,2048],[2048],[5089,2048],[5089,2048],[5089,2048],[5089,2048],[5089,2048],[],[]]
[[8192,2048],[8192,2048],[2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[8192,2048],[],[]]"
grouped_topk,test_grouped_topk.py,torch实现,ref_grouped_topk：移植自 vLLM grouped_topk_router 的纯 torch 实现,-,
per_token_group_quant_fp8,test_per_token_group_quant_fp8.py,vLLM接口,vllm fp8_utils.per_token_group_quant_fp8,"import: from vllm.model_executor.layers.quantization.utils.fp8_utils import per_token_group_quant_fp8  调用: per_token_group_quant_fp8(x, group_size, use_ue8m0=scale_ue8m0)",
combine_topk_swa_indices,test_deepseek_v4_attention_combine_topk_swa_indices.py,vLLM接口,vllm.v1.attention.ops.deepseek_v4_ops,import: from vllm.v1.attention.ops.deepseek_v4_ops import combine_topk_swa_indices  调用: combine_topk_swa_indices(...)  # 作为 base.Benchmark 的 torch_op 直接传入,
compute_global_topk_indices_and_lens,test_deepseek_v4_attention_compute_global_topk_indices_and_lens.py,vLLM接口,vllm.v1.attention.ops.deepseek_v4_ops,import: from vllm.v1.attention.ops.deepseek_v4_ops import compute_global_topk_indices_and_lens  调用: compute_global_topk_indices_and_lens(...)  # 作为 torch_op 直接传入,
